date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:43:26	59860/59860	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2007:48:11%20GMT	http://tavonline.net/html/madrid/img/work-5.jpg	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/img/work-5.jpg	(from http://tavonline.net/html/madrid/)
12:43:26	4825/4825	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Sep%202018%2007:47:40%20GMT	http://tavonline.net/html/madrid/work-8.html	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/work-8.html	(from http://tavonline.net/html/madrid/)
12:43:27	38986/38986	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2007:48:11%20GMT	http://tavonline.net/html/madrid/img/work-7.jpg	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/img/work-7.jpg	(from http://tavonline.net/html/madrid/)
12:43:28	56050/56050	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2007:48:12%20GMT	http://tavonline.net/html/madrid/img/work-6.jpg	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/img/work-6.jpg	(from http://tavonline.net/html/madrid/)
12:43:29	4368/4368	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2022%20Sep%202018%2007:47:46%20GMT	http://tavonline.net/html/madrid/js/main.js	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/js/main.js	(from http://tavonline.net/html/madrid/)
12:43:29	34237/34237	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2007:47:49%20GMT	http://tavonline.net/html/madrid/img/work-8.jpg	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/img/work-8.jpg	(from http://tavonline.net/html/madrid/)
12:43:29	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Jul%202020%2007:13:27%20GMT	http://tavonline.net/html/madrid/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/fonts/glyphicons-halflings-regular.eot	(from http://tavonline.net/html/madrid/css/bootstrap.css)
12:43:29	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Jul%202020%2007:13:28%20GMT	http://tavonline.net/html/madrid/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/fonts/glyphicons-halflings-regulard41d.eot	(from http://tavonline.net/html/madrid/css/bootstrap.css)
12:43:30	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Jul%202020%2007:13:28%20GMT	http://tavonline.net/html/madrid/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/fonts/glyphicons-halflings-regular.woff2	(from http://tavonline.net/html/madrid/css/bootstrap.css)
12:43:30	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Jul%202020%2007:13:29%20GMT	http://tavonline.net/html/madrid/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/fonts/glyphicons-halflings-regular.woff	(from http://tavonline.net/html/madrid/css/bootstrap.css)
12:43:31	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Jul%202020%2007:13:29%20GMT	http://tavonline.net/html/madrid/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/fonts/glyphicons-halflings-regular.ttf	(from http://tavonline.net/html/madrid/css/bootstrap.css)
12:43:31	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Jul%202020%2007:13:29%20GMT	http://tavonline.net/html/madrid/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/fonts/glyphicons-halflings-regular.svg	(from http://tavonline.net/html/madrid/css/bootstrap.css)
12:43:34	175591/175591	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2022%20Sep%202018%2007:47:46%20GMT	http://tavonline.net/html/madrid/js/plugins.js	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/js/plugins.js	(from http://tavonline.net/html/madrid/)
12:43:58	163318/163318	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2007:47:54%20GMT	http://tavonline.net/html/madrid/img/home.jpg	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/img/home.jpg	(from http://tavonline.net/html/madrid/css/style.css)
12:44:01	181962/181962	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2007:47:55%20GMT	http://tavonline.net/html/madrid/img/about-promo.jpg	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/img/about-promo.jpg	(from http://tavonline.net/html/madrid/css/style.css)
12:44:01	164927/164927	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Sep%202018%2007:47:56%20GMT	http://tavonline.net/html/madrid/img/contact.jpg	C:/My%20Web%20Sites/newww/tavonline.net/html/madrid/img/contact.jpg	(from http://tavonline.net/html/madrid/css/style.css)
